id	image_src	name	size	type	speed	source	alignment	ac	armour_type	hp	hp_dice	strength	dexterity	constitution	intelligence	wisdom	charisma	skill	vulnerable	save	passive_perception	immune_to	condition_immune	languages	challenge_rating	senses	resistances	spells	spell_slots	traits	actions	reactions	legendary
broom_of_animated_attack	broom_of_animated_attack.png	Broom of Animated Attack	small	construct	"0 ft, fly 50 ft"	Curse Of Strahd	unaligned	15	natural armor	17	5d6	10	17	10	1	5	1				7	"poison, psychic"	"blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone"		0.25	blindsight 30 ft (blind beyond this radius)				"constructed nature, antimagic susceptibility, false appearance"	"multiattack, broomstick"	animated attack	
barovian_witch	barovian_witch.png	Barovian Witch	medium	"humanoid, human"	30 ft	Curse Of Strahd	chaotic evil	10		16	3d8+3	7	11	13	14	11	12	"Arcana +4, Perception +2"			12			common	0.5	darkvision 60 ft		"mage hand, prestidigitation, ray of frost, ray of sickness, sleep, Tasha's hideous laughter, alter self, invisibility"	"4,2,0,0,0,0,0,0,0"	spellcasting	"claws, dagger"		
guardian_portrait	guardian_portrait.png	Guardian Portrait	medium	construct	0 ft	Curse Of Strahd	unaligned	5	natural armor	22	5d8	1	1	10	14	10	10				10	poison	"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained"	"common, plus up to two other languages"	1	darkvision 60 ft		"counterspell, crown of madness, hypnotic pattern, telekinesis"		"constructed nature, antimagic susceptibility, innate spellcasting, false appearance"			
mongrelfolk	mongrelfolk.png	Mongrelfolk	medium	"humanoid, mongrelfolk"	20 ft	Curse Of Strahd	any alignment	11	natural armor	26	4d8+8	12	9	15	9	10	6	"Deception +2, Perception +2, Stealth +3"			12			common	0.25					"extraordinary feature, mimicry"	"multiattack, bite, claw, dagger"		
phantom_warrior	phantom_warrior.png	Phantom Warrior	medium	undead	30 ft	Curse Of Strahd	any alignment	16		45	6d8+18	16	11	16	8	10	15	"Perception +2, Stealth +4"			12	"cold, necrotic, poison"	"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained"	any languages it knew in life	1	darkvision 60 ft	"bludgeoning, piercing,  slashing from nonmagical attacks"			"ethereal sight, incorporeal movement, spectral armor and shield"	"multiattack, spectral longsword, etherealness"		
tree_blight	tree_blight.png	Tree Blight	huge	plant	30 ft	Curse Of Strahd	neutral evil	15	natural armor	149	13d12+65	23	10	20	6	10	3				10		"blinded, deafened"	understands common and druidic but doesn't speak	7	blindsight 60 ft (blind beyond this radius)				"false appearance, siege monster"	"multiattack, bite, branch, grasping root"		
wereraven	wereraven.png	Wereraven	medium	"humanoid, human, shapechanger"	"30 ft, fly 50 ft"	Curse Of Strahd	lawful good	12		31	7d8	10	15	11	13	15	14	"Insight +4, Perception +6"			16	"bludgeoning, piercing, slashing from nonmagical attacks not made with silvered weapons"		common (can't speak in raven form)	2					"shapechanger, mimicry"	"multiattack, beak, shortsword, hand crossbow"		
ambush_drake	ambush_drake.png	Ambush Drake	medium	dragon	30 ft	Tyranny Of Dragons	unaligned	13	natural armor	22	4d6+8	13	15	14	4	11	6	"Perception +4, Stealth +4"			14			"understands draconic, can't speak it"	0.5	darkvision 60 ft	poison			"pack tactics, surprise attack"	bite		
dragonclaw	dragonclaw.png	Dragonclaw	medium	"humanoid, human"	30 ft	Tyranny Of Dragons	neutral evil	14	leather armor	16	3d8+3	9	16	13	11	10	12	"Deception +3, Stealth +5"		wis +2	10			"common, draconic"	1					"dragon fanatic, fanatic advantage, pack tactics"	"multiattack, scimitar"		
dragonwing	dragonwing.png	Dragonwing	medium	"humanoid, human"	30 ft	Tyranny Of Dragons	neutral evil	14	leather armor	33	6d8+6	11	16	13	11	11	13	"Deception +3, Stealth +5"		wis +2	10			"common, draconic"	2		"one of the following: acid, cold, fire, lightning, or poison"			"dragon fanatic, fanatic advantage, limited flight, pack tactics"	"multiattack, scimitar"		
guard_drake	guard_drake.png	Guard Drake	medium	dragon	30 ft	Tyranny Of Dragons	unaligned	14	natural armor	52	7d8+21	16	11	16	4	10	7	Perception +2			12			"understands draconic, can't speak it"	2	darkvision 60 ft	lightning				"multiattack, bite, tail"		
aarakocra	aarakocra.png	Aarakocra	medium	"humanoid, aarakocra"	"20 ft, fly 50 ft"	Monster Manual	neutral good	12		13	3d8	10	14	10	11	12	11	Perception +5			15			"auran, aarakocra"	0.25					dive attack	"talon, javelin, summon air elemental"		
aboleth	aboleth.png	Aboleth	large	aberration	"10 ft, swim 40 ft"	Monster Manual	lawful evil	17	natural armor	135	18d10+36	21	9	15	18	15	18	"History +12, Perception +10"		"con +6, int +8, wis +6"	20			"deep speech, telepathy 120 ft"	10	darkvision 120 ft				"amphibious, mucous cloud, probing telepathy"	"multiattack, tentacle, tail, enslave"		"detect, tail swipe, psychic drain"
abominable_yeti	abominable_yeti.png	Abominable Yeti	huge	monstrosity	"40 ft, climb 40 ft"	Monster Manual	chaotic evil	15	natural armor	137	11d12+66	24	10	22	9	13	9	"Perception +5, Stealth +4"			15	cold		yeti	9	darkvision 60 ft				"fear of fire, keen smell, snow camouflage"	"multiattack, claw, chilling gaze, cold breath"		
acolyte	acolyte.png	Acolyte	medium	"humanoid, any race"	30 ft	Monster Manual	any alignment	10		9	2d8	10	10	10	10	14	11	"Medicine +4, Religion +2"			12			any one language (usually common)	0.25			"light, sacred flame, thaumaturgy, bless, cure wounds, sanctuary"	"3,0,0,0,0,0,0,0,0"	spellcasting	club		
adult_black_dragon	adult_black_dragon.png	Adult Black Dragon	huge	dragon	"40 ft, fly 80 ft, swim 40 ft"	Monster Manual	chaotic evil	19	natural armor	195	17d12+85	23	14	21	14	13	17	"Perception +11, Stealth +7"		"dex +7, con +10, wis +6, cha +8"	21	acid		"common, draconic"	14	"blindsight 60 ft, darkvision 120 ft"				"amphibious, legendary resistance"	"multiattack, bite, claw, tail, frightful presence, acid breath"		"detect, tail attack, wing attack"
adult_blue_dracolich	adult_blue_dracolich.png	Adult Blue Dracolich	huge	undead	"40 ft, burrow 30 ft, fly 80 ft"	Monster Manual	lawful evil	19	natural armor	225	18d12+108	25	10	23	16	15	19	"Perception +12, Stealth +5"		"dex +5, con +11, wis +7, cha +9"	22	"lightning, poison"	"charmed, exhaustion, frightened, paralyzed, poisoned"	"common, draconic"	17	"blindsight 60 ft, darkvision 120 ft"	necrotic			"legendary resistance, magic resistance"	"multiattack, bite, claw, tail, frightful presence, lightning breath"		"detect, tail attack, wing attack"
